SYMBOL
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
KOTAKBANK
SBIN
AXISBANK
ITC
HINDUNILVR
LT
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
ADANITRANS
ANGELONE
APLAPOLLO
ATGL
BANKINDIA
BSE
CAMS
CDSL
CESC
CGPOWER
CYIENT
DELHIVERY
DMART
FORTIS
PPLPHARMA
UNOMINDA
360ONE
KFIN
AMBER
PGELECTRO
HFCL
HUDCO
INDIANB
IRB
IRFC
JIOFIN
JSL
JSWENERGY
 KALYANKJIL
KEI
KPITTECH
LICI
LODHA
MAXHEALTH
NCC
NHPC
NYKAA
OIL
PAYTM
POLICYBZR
POONAWALLA
PRESTIGE
SJVN
SONACOMS
SUPREMEIND
TATAELXSI
TIINDIA
UNIONBANK
VBL
YESBANK
ZOMATO
